Season,Tournament Name,Date,Tournament Class,Match,Tab,Team 1 Player 1,Team 1 Player 2,Team 2 Player 1,Team 2 Player 2,Result,Winner Player 1,Winner Player 2
2015/2016,Hamar BB-2016,20.02.2016,U13 A,Herresingle,,Mathias Ji Hong,,Hans Jørgen Berg,"21/10,21/12",Mathias Ji Hong,
2015/2016,Hamar BB-2016,20.02.2016,U13 A,Herresingle,,Benny Vu,,Eirik Kallåk Larsen,"21/12,21/14",Benny Vu,
2015/2016,Hamar BB-2016,20.02.2016,U13 A,Herresingle,,Hans Jørgen Berg,,Eirik Kallåk Larsen,"21/2,21/12",Hans Jørgen Berg,
2015/2016,Hamar BB-2016,20.02.2016,U13 A,Herresingle,,Mathias Ji Hong,,Vetle Bækkelien,"21/9,21/9",Mathias Ji Hong,
2015/2016,Hamar BB-2016,20.02.2016,U13 A,Herresingle,,Trym Haug,,Benny Vu,"21/16,21/14",Trym Haug,
2015/2016,Hamar BB-2016,20.02.2016,U13 A,Herresingle,,Trym Haug,,Eirik Kallåk Larsen,"21/9,21/11",Trym Haug,
2015/2016,Hamar BB-2016,20.02.2016,U13 A,Herresingle,,Hans Jørgen Berg,,Benny Vu,"24/22,21/15",Hans Jørgen Berg,
2015/2016,Hamar BB-2016,20.02.2016,U13 A,Herresingle,,Mathias Ji Hong,,Eirik Kallåk Larsen,"21/2,21/3",Mathias Ji Hong,
2015/2016,Hamar BB-2016,20.02.2016,U13 A,Herresingle,,Vetle Bækkelien,,Trym Haug,"21/14,21/16",Vetle Bækkelien,
2015/2016,Hamar BB-2016,20.02.2016,U13 A,Herresingle,,Vetle Bækkelien,,Benny Vu,"21/13,21/14",Vetle Bækkelien,
2015/2016,Hamar BB-2016,20.02.2016,U13 A,Herresingle,,Hans Jørgen Berg,,Trym Haug,"17/21,21/17,30/28",Hans Jørgen Berg,
2015/2016,Hamar BB-2016,20.02.2016,U13 A,Herresingle,,Mathias Ji Hong,,Benny Vu,"21/5,21/9",Mathias Ji Hong,
2015/2016,Hamar BB-2016,20.02.2016,U13 A,Herresingle,,Vetle Bækkelien,,Eirik Kallåk Larsen,"21/5,21/5",Vetle Bækkelien,
2015/2016,Hamar BB-2016,20.02.2016,U13 A,Herresingle,,Hans Jørgen Berg,,Vetle Bækkelien,"16/21,21/18,21/15",Hans Jørgen Berg,
2015/2016,Hamar BB-2016,20.02.2016,U13 A,Herresingle,,Mathias Ji Hong,,Trym Haug,"21/10,21/4",Mathias Ji Hong,
2015/2016,Hamar BB-2016,20.02.2016,U15 A,Herresingle,,Simen André Børke Høgberg,,Andy Hang,"21/15,21/8",Simen André Børke Høgberg,
2015/2016,Hamar BB-2016,20.02.2016,U15 A,Herresingle,,Sondre Mikkelsen,,Edvard Berdal Eek,"21/12,21/3",Sondre Mikkelsen,
2015/2016,Hamar BB-2016,20.02.2016,U15 A,Herresingle,,Sondre Mikkelsen,,Andy Hang,"21/7,21/13",Sondre Mikkelsen,
2015/2016,Hamar BB-2016,20.02.2016,U15 A,Herresingle,,Simen André Børke Høgberg,,Edvard Berdal Eek,"21/10,21/3",Simen André Børke Høgberg,
2015/2016,Hamar BB-2016,20.02.2016,U15 A,Herresingle,,Andy Hang,,Edvard Berdal Eek,"21/15,21/14",Andy Hang,
2015/2016,Hamar BB-2016,20.02.2016,U15 A,Herresingle,,Sondre Mikkelsen,,Simen André Børke Høgberg,"21/10,19/21,22/20",Sondre Mikkelsen,
2015/2016,Hamar BB-2016,20.02.2016,U15 B,Herresingle,,Daniel Lukas Saltvik,,Håvard Stensrud Kolseth,"23/21,15/21,21/13",Daniel Lukas Saltvik,
2015/2016,Hamar BB-2016,20.02.2016,U15 B,Herresingle,,Simen Jessen Bjerkeli,,Gabriel Simensen,"24/22,21/16",Simen Jessen Bjerkeli,
2015/2016,Hamar BB-2016,20.02.2016,U15 B,Herresingle,,Simen Jessen Bjerkeli,,Daniel Lukas Saltvik,"21/14,21/16",Simen Jessen Bjerkeli,
2015/2016,Hamar BB-2016,20.02.2016,U15 B,Herresingle,,Håvard Stensrud Kolseth,,Gabriel Simensen,"21/12,21/16",Håvard Stensrud Kolseth,
2015/2016,Hamar BB-2016,20.02.2016,U15 B,Herresingle,,Daniel Lukas Saltvik,,Gabriel Simensen,"21/11,21/11",Daniel Lukas Saltvik,
2015/2016,Hamar BB-2016,20.02.2016,U15 B,Herresingle,,Simen Jessen Bjerkeli,,Håvard Stensrud Kolseth,"21/11,21/15",Simen Jessen Bjerkeli,
2015/2016,Hamar BB-2016,20.02.2016,U15 B,Damesingle,,Thea Thorleifsen,,Vilde Langhelle,"18/21,21/16,21/19",Thea Thorleifsen,
2015/2016,Hamar BB-2016,20.02.2016,U17 A,Damesingle,,Aimee Hong,,Eline Ullereng Mamelund,"21/2,21/3",Aimee Hong,
2015/2016,Hamar BB-2016,20.02.2016,U17 A,Damesingle,,Ingrid Sofie Langsjøvold,,Eline Ullereng Mamelund,"21/2,21/6",Ingrid Sofie Langsjøvold,
2015/2016,Hamar BB-2016,20.02.2016,U17 A,Damesingle,,Aimee Hong,,Ingrid Sofie Langsjøvold,"21/7,21/5",Aimee Hong,
