Season,Tournament Name,Date,Tournament Class,Match,Tab,Team 1 Player 1,Team 1 Player 2,Team 2 Player 1,Team 2 Player 2,Result,Winner Player 1,Winner Player 2
2019/2020,NTNUI NTNUI Treffpunkt ,11.10.2019,SEN A,Herresingle,,Andreas Nordhøy,,Andreas Stenhaug,"21/17,21/11",Andreas Nordhøy,
2019/2020,NTNUI NTNUI Treffpunkt ,11.10.2019,SEN A,Herresingle,,Torstein Moe,,Håkon Skogland Halvorsen,"21/8,21/19",Torstein Moe,
2019/2020,NTNUI NTNUI Treffpunkt ,11.10.2019,SEN A,Herresingle,,Leon Ham,,Amund Skavhaug,"21/16,21/13",Leon Ham,
2019/2020,NTNUI NTNUI Treffpunkt ,11.10.2019,SEN A,Herresingle,,Mustafa Jarallah,,Jonas Midtøy,"21/18,21/15",Mustafa Jarallah,
2019/2020,NTNUI NTNUI Treffpunkt ,11.10.2019,SEN A,Herresingle,,Martin Hyllestad,,Andreas Stenhaug,"21/16,21/16",Martin Hyllestad,
2019/2020,NTNUI NTNUI Treffpunkt ,11.10.2019,SEN A,Herresingle,,Fredrik Skånøy,,Bård Thrane,"21/8,21/14",Fredrik Skånøy,
2019/2020,NTNUI NTNUI Treffpunkt ,11.10.2019,SEN A,Herresingle,,Sebastian Bøe,,Valentin Kesel,"21/8,21/10",Sebastian Bøe,
2019/2020,NTNUI NTNUI Treffpunkt ,11.10.2019,SEN A,Herresingle,,Tiril Kristine Tanum,,Markus Frey,"21/14,21/5",Tiril Kristine Tanum,
2019/2020,NTNUI NTNUI Treffpunkt ,11.10.2019,SEN A,Herresingle,,Fredrik Skånøy,,Tiril Kristine Tanum,"21/17,21/18",Fredrik Skånøy,
2019/2020,NTNUI NTNUI Treffpunkt ,11.10.2019,SEN A,Herresingle,,Torstein Moe,,Andreas Nordhøy,"21/8,21/7",Torstein Moe,
2019/2020,NTNUI NTNUI Treffpunkt ,11.10.2019,SEN A,Herresingle,,Leon Ham,,Mustafa Jarallah,"21/15,21/10",Leon Ham,
