Season,Tournament Name,Date,Tournament Class,Match,Tab,Team 1 Player 1,Team 1 Player 2,Team 2 Player 1,Team 2 Player 2,Result,Winner Player 1,Winner Player 2
2016/2017,Hamar Hamarturneringen,11.02.2017,SEN C,Herresingle,,Eivind Teigen,,Sondre Mikkelsen,"21/23,21/7,21/12",Eivind Teigen,
2016/2017,Hamar Hamarturneringen,11.02.2017,SEN C,Herresingle,,Bjørn Rakstang,,Simen André Børke Høgberg,"21/16,24/26,21/19",Bjørn Rakstang,
2016/2017,Hamar Hamarturneringen,11.02.2017,SEN C,Herresingle,,Simen André Børke Høgberg,,Eivind Teigen,"21/19,24/22",Simen André Børke Høgberg,
2016/2017,Hamar Hamarturneringen,11.02.2017,SEN C,Herresingle,,Sondre Mikkelsen,,Bjørn Rakstang,"24/22,15/21,21/12",Sondre Mikkelsen,
2016/2017,Hamar Hamarturneringen,11.02.2017,SEN C,Herresingle,,Bjørn Rakstang,,Eivind Teigen,"21/16,21/11",Bjørn Rakstang,
2016/2017,Hamar Hamarturneringen,11.02.2017,SEN C,Herresingle,,Simen André Børke Høgberg,,Sondre Mikkelsen,"16/21,21/16,21/15",Simen André Børke Høgberg,
2016/2017,Hamar Hamarturneringen,11.02.2017,SEN C,Damesingle,,Nina Wang Korbu,,Ingrid Sofie Langsjøvold,"21/17,21/17",Nina Wang Korbu,
2016/2017,Hamar Hamarturneringen,11.02.2017,SEN C,Damesingle,,Eline Ullereng Mamelund,,Claudia Rittig,"21/3,21/17",Eline Ullereng Mamelund,
2016/2017,Hamar Hamarturneringen,11.02.2017,SEN C,Damesingle,,Ingrid Sofie Langsjøvold,,Claudia Rittig,"21/4,21/1",Ingrid Sofie Langsjøvold,
2016/2017,Hamar Hamarturneringen,11.02.2017,SEN C,Damesingle,,Nina Wang Korbu,,Eline Ullereng Mamelund,"21/7,21/5",Nina Wang Korbu,
2016/2017,Hamar Hamarturneringen,11.02.2017,SEN C,Damesingle,,Ingrid Sofie Langsjøvold,,Eline Ullereng Mamelund,"21/9,21/11",Ingrid Sofie Langsjøvold,
2016/2017,Hamar Hamarturneringen,11.02.2017,SEN C,Damesingle,,Nina Wang Korbu,,Claudia Rittig,"21/5,21/2",Nina Wang Korbu,
2016/2017,Hamar Hamarturneringen,11.02.2017,U11 B,Herresingle,,Emil Greaker Wiik,,Alan Algunerhan,"21/12,21/12",Emil Greaker Wiik,
2016/2017,Hamar Hamarturneringen,11.02.2017,U11 B,Herresingle,,Amund Lind,,Alan Algunerhan,"21/14,21/12",Amund Lind,
2016/2017,Hamar Hamarturneringen,11.02.2017,U11 B,Herresingle,,Amund Lind,,Iver Dyre Thorleifsen,"21/13,12/21,21/16",Amund Lind,
2016/2017,Hamar Hamarturneringen,11.02.2017,U11 B,Herresingle,,Emil Greaker Wiik,,Iver Dyre Thorleifsen,"21/15,20/22,21/13",Emil Greaker Wiik,
2016/2017,Hamar Hamarturneringen,11.02.2017,U11 B,Herresingle,,Iver Dyre Thorleifsen,,Alan Algunerhan,"21/8,21/11",Iver Dyre Thorleifsen,
