Season,Tournament Name,Date,Tournament Class,Match,Tab,Team 1 Player 1,Team 1 Player 2,Team 2 Player 1,Team 2 Player 2,Result,Winner Player 1,Winner Player 2
2023/2024,Tana Vintergnisten 2024,24.02.2024,SEN B,Mixeddouble,Jenica Sibayan,Silas Saga Fløystad,Ida Fløystad,Andreas Saga Romsdal,"21/12,18/21,21/12",Jenica Sibayan,Silas Saga Fløystad
2023/2024,Tana Vintergnisten 2024,24.02.2024,SEN C,Herresingle,,Violetta Roskova,,Elisabeth Iversen,"21/17,21/2",Violetta Roskova,
2023/2024,Tana Vintergnisten 2024,24.02.2024,SEN C,Herresingle,,Violetta Roskova,,Mykhailo Prokopovych,"21/14,21/14",Violetta Roskova,
2023/2024,Tana Vintergnisten 2024,24.02.2024,SEN C,Herresingle,,Elisabeth Iversen,,Oleksii Burlutskyi,"21/18,12/21,21/12",Elisabeth Iversen,
2023/2024,Tana Vintergnisten 2024,24.02.2024,SEN C,Herresingle,,Oleksii Burlutskyi,,Martin Svenske,"21/0,21/0",Oleksii Burlutskyi,
2023/2024,Tana Vintergnisten 2024,24.02.2024,SEN C,Herresingle,,Violetta Roskova,,Oleksii Burlutskyi,"21/17,21/10",Violetta Roskova,
2023/2024,Tana Vintergnisten 2024,24.02.2024,SEN C,Herresingle,,Violetta Roskova,,Martin Svenske,"21/0,21/0",Violetta Roskova,
2023/2024,Tana Vintergnisten 2024,24.02.2024,SEN C,Herresingle,,Mykhailo Prokopovych,,Oleksandr Burlutskyi,"23/21,21/17",Mykhailo Prokopovych,
2023/2024,Tana Vintergnisten 2024,24.02.2024,SEN C,Herresingle,,Elisabeth Iversen,,Oleksandr Burlutskyi,"21/15,21/8",Elisabeth Iversen,
2023/2024,Tana Vintergnisten 2024,24.02.2024,SEN C,Herresingle,,Elisabeth Iversen,,Mykhailo Prokopovych,"18/21,21/15,21/17",Elisabeth Iversen,
2023/2024,Tana Vintergnisten 2024,24.02.2024,SEN C,Herredouble,Oleksii Burlutskyi,Malvind Børresen,Mykhailo Prokopovych,Oleksandr Burlutskyi,"21/15,21/23,21/13",Oleksii Burlutskyi,Malvind Børresen
2023/2024,Tana Vintergnisten 2024,24.02.2024,U9 A,Herresingle,,Emma Eriksen,,Hanna Kristine Kvivesen Pedersen,"23/21,21/17",Emma Eriksen,
