Season,Tournament Name,Date,Tournament Class,Tab,Team 1 Player 1,Team 1 Player 2,Team 2 Player 1,Team 2 Player 2,Result,Winner Player 1,Winner Player 2
2018/2019,Sandefjord SaBK Jubileumsturnering,29.09.2018,SEN E,,Tobias Krømke,,Martin Grøtterød,"21/12,21/18",Tobias Krømke,
2018/2019,Sandefjord SaBK Jubileumsturnering,29.09.2018,SEN E,,Ikmal Hussain Jaafar,,Carl Christian Hem,"21/10,21/17",Ikmal Hussain Jaafar,
2018/2019,Sandefjord SaBK Jubileumsturnering,29.09.2018,SEN E,,Carl Christian Hem,,Carl Christian Møller Jacobsen,"21/17,15/21,21/16",Carl Christian Hem,
2018/2019,Sandefjord SaBK Jubileumsturnering,29.09.2018,SEN E,,Ikmal Hussain Jaafar,,Jørgen Rosenlund,"21/17,21/17",Ikmal Hussain Jaafar,
2018/2019,Sandefjord SaBK Jubileumsturnering,29.09.2018,SEN E,,Ikmal Hussain Jaafar,,Øystein Hovden Eimind,"21/12,21/12",Ikmal Hussain Jaafar,
2018/2019,Sandefjord SaBK Jubileumsturnering,29.09.2018,SEN E,,Carl Christian Hem,,Kristoffer Robin Olsen,"21/16,21/17",Carl Christian Hem,
2018/2019,Sandefjord SaBK Jubileumsturnering,29.09.2018,SEN E,,Carl Christian Hem,,Øystein Hovden Eimind,"21/16,21/19",Carl Christian Hem,
2018/2019,Sandefjord SaBK Jubileumsturnering,29.09.2018,SEN E,,Ikmal Hussain Jaafar,,Kristoffer Robin Olsen,"21/10,21/8",Ikmal Hussain Jaafar,
2018/2019,Sandefjord SaBK Jubileumsturnering,29.09.2018,SEN E,,Øystein Hovden Eimind,,Kristoffer Robin Olsen,"21/8,14/21,21/12",Øystein Hovden Eimind,
2018/2019,Sandefjord SaBK Jubileumsturnering,29.09.2018,SEN E,,Carl Christian Hem,,Ikmal Hussain Jaafar,"21/14,22/20",Carl Christian Hem,
2018/2019,Sandefjord SaBK Jubileumsturnering,29.09.2018,SEN E,,Jørgen Rosenlund,,Tobias Krømke,"21/17,21/19",Jørgen Rosenlund,
2018/2019,Sandefjord SaBK Jubileumsturnering,29.09.2018,SEN E,,Carl Christian Møller Jacobsen,,Martin Grøtterød,"18/21,21/11,21/15",Carl Christian Møller Jacobsen,
2018/2019,Sandefjord SaBK Jubileumsturnering,29.09.2018,SEN E,,Jørgen Rosenlund,,Martin Grøtterød,"21/16,19/21,21/13",Jørgen Rosenlund,
2018/2019,Sandefjord SaBK Jubileumsturnering,29.09.2018,SEN E,,Carl Christian Møller Jacobsen,,Tobias Krømke,"21/19,21/16",Carl Christian Møller Jacobsen,
2018/2019,Sandefjord SaBK Jubileumsturnering,29.09.2018,SEN E,,Jørgen Rosenlund,,Carl Christian Møller Jacobsen,"21/16,21/10",Jørgen Rosenlund,
2018/2019,Sandefjord SaBK Jubileumsturnering,29.09.2018,SEN E,,Tobias Krømke,,Martin Grøtterød,"21/12,21/18",Tobias Krømke,
2018/2019,Sandefjord SaBK Jubileumsturnering,29.09.2018,SEN B,,Marius Imset,,Naruebet Buakaew,"21/7,22/20",Marius Imset,
2018/2019,Sandefjord SaBK Jubileumsturnering,29.09.2018,SEN B,,Marius Imset,,Jon Henning Bergane,"21/12,21/10",Marius Imset,
2018/2019,Sandefjord SaBK Jubileumsturnering,29.09.2018,SEN B,,Naruebet Buakaew,,Lars Kjørholt,"21/10,21/18",Naruebet Buakaew,
2018/2019,Sandefjord SaBK Jubileumsturnering,29.09.2018,SEN B,,Marius Imset,,Erik Langeland,"21/10,21/8",Marius Imset,
2018/2019,Sandefjord SaBK Jubileumsturnering,29.09.2018,SEN B,,Jon Henning Bergane,,Kamrul Hasan,"21/5,21/16",Jon Henning Bergane,
2018/2019,Sandefjord SaBK Jubileumsturnering,29.09.2018,SEN B,,Naruebet Buakaew,,Hugo Hansen,"14/21,21/11,21/9",Naruebet Buakaew,
2018/2019,Sandefjord SaBK Jubileumsturnering,29.09.2018,SEN B,,Lars Kjørholt,,Svein Brenna,"21/14,22/20",Lars Kjørholt,
2018/2019,Sandefjord SaBK Jubileumsturnering,29.09.2018,SEN B,,Thomas Mortensen,,Øivind Østberg,"21/14,21/12",Thomas Mortensen,
2018/2019,Sandefjord SaBK Jubileumsturnering,29.09.2018,SEN B,,Marius Imset,,Hugo Hansen,"21/18,21/14",Marius Imset,
2018/2019,Sandefjord SaBK Jubileumsturnering,29.09.2018,SEN B,,Hugo Hansen,,Øivind Østberg,"21/3,21/5",Hugo Hansen,
2018/2019,Sandefjord SaBK Jubileumsturnering,29.09.2018,SEN B,,Marius Imset,,Thomas Mortensen,"21/5,21/6",Marius Imset,
2018/2019,Sandefjord SaBK Jubileumsturnering,29.09.2018,SEN B,,Marius Imset,,Øivind Østberg,"21/5,21/8",Marius Imset,
2018/2019,Sandefjord SaBK Jubileumsturnering,29.09.2018,SEN B,,Hugo Hansen,,Thomas Mortensen,"21/12,21/15",Hugo Hansen,
2018/2019,Sandefjord SaBK Jubileumsturnering,29.09.2018,SEN B,,Jon Henning Bergane,,Lars Kjørholt,"21/15,21/14",Jon Henning Bergane,
2018/2019,Sandefjord SaBK Jubileumsturnering,29.09.2018,SEN B,,Osman Bekri Khan,,Espen Ditmansen,"21/17,18/21,22/20",Osman Bekri Khan,
2018/2019,Sandefjord SaBK Jubileumsturnering,29.09.2018,SEN B,,Lars Kjørholt,,Osman Bekri Khan,"21/7,21/13",Lars Kjørholt,
2018/2019,Sandefjord SaBK Jubileumsturnering,29.09.2018,SEN B,,Jon Henning Bergane,,Espen Ditmansen,"21/8,21/6",Jon Henning Bergane,
2018/2019,Sandefjord SaBK Jubileumsturnering,29.09.2018,SEN B,,Lars Kjørholt,,Espen Ditmansen,"20/22,221/19,21/10",Lars Kjørholt,
2018/2019,Sandefjord SaBK Jubileumsturnering,29.09.2018,SEN B,,Osman Bekri Khan,,Jon Henning Bergane,"21/6,21/16",Osman Bekri Khan,
2018/2019,Sandefjord SaBK Jubileumsturnering,29.09.2018,SEN B,,Naruebet Buakaew,,Jørn Lindberg,"21/17,21/11",Naruebet Buakaew,
2018/2019,Sandefjord SaBK Jubileumsturnering,29.09.2018,SEN B,,Erik Langeland,,Jørn Lindberg,"16/21,21/18,21/17",Erik Langeland,
2018/2019,Sandefjord SaBK Jubileumsturnering,29.09.2018,SEN B,,Naruebet Buakaew,,Erik Langeland,"21/17,25/23",Naruebet Buakaew,
2018/2019,Sandefjord SaBK Jubileumsturnering,29.09.2018,SEN B,,Svein Brenna,,Kamrul Hasan,"21/14,17/21,21/16",Svein Brenna,
