Season,Tournament Name,Date,Tournament Class,Tab,Team 1 Player 1,Team 1 Player 2,Team 2 Player 1,Team 2 Player 2,Result,Winner Player 1,Winner Player 2
2016/2017,Hammerfest Midnight Sun,02.06.2017,SEN A,,Pankaj Bhart,,Tom Brovold,"21/0,21/0",Pankaj Bhart,
2016/2017,Hammerfest Midnight Sun,02.06.2017,SEN A,,Andreas Andersen,,Ernst Georg Olsen,"17/21,23/21,21/19",Andreas Andersen,
2016/2017,Hammerfest Midnight Sun,02.06.2017,SEN A,Andreas Andersen,Tore Nilsen,Pankaj Bhart,Ernst Georg Olsen,"21/16,20/22,21/13",Andreas Andersen,Tore Nilsen
2016/2017,Hammerfest Midnight Sun,02.06.2017,SEN A,Ståle Engenes,Torstein Monsen,Pankaj Bhart,Ernst Georg Olsen,"15/21,21/19,21/18",Ståle Engenes,Torstein Monsen
2016/2017,Hammerfest Midnight Sun,02.06.2017,SEN A,Hans Andreas Karlsen,Kristian Løe,Jan Petter Olsen,Tom Brovold,"21/18,21/18",Hans Andreas Karlsen,Kristian Løe
2016/2017,Hammerfest Midnight Sun,02.06.2017,SEN A,Vegar Næss,Ole Salomonsen,Andreas Andersen,Tore Nilsen,"21/14,19/21,21/19",Vegar Næss,Ole Salomonsen
2016/2017,Hammerfest Midnight Sun,02.06.2017,SEN A,Vegar Næss,Ole Salomonsen,Ståle Engenes,Torstein Monsen,"21/15,21/13",Vegar Næss,Ole Salomonsen
2016/2017,Hammerfest Midnight Sun,02.06.2017,SEN A,Hans Andreas Karlsen,Kristian Løe,Pankaj Bhart,Ernst Georg Olsen,"17/21,21/17,21/19",Hans Andreas Karlsen,Kristian Løe
2016/2017,Hammerfest Midnight Sun,02.06.2017,SEN A,Andreas Andersen,Tore Nilsen,Jan Petter Olsen,Tom Brovold,"21/17,21/18",Andreas Andersen,Tore Nilsen
2016/2017,Hammerfest Midnight Sun,02.06.2017,SEN A,Andreas Andersen,Tore Nilsen,Ståle Engenes,Torstein Monsen,"21/19,21/19",Andreas Andersen,Tore Nilsen
2016/2017,Hammerfest Midnight Sun,02.06.2017,SEN A,Vegar Næss,Ole Salomonsen,Hans Andreas Karlsen,Kristian Løe,"21/14,19/21,21/13",Vegar Næss,Ole Salomonsen
2016/2017,Hammerfest Midnight Sun,02.06.2017,SEN A,Pankaj Bhart,Ernst Georg Olsen,Jan Petter Olsen,Tom Brovold,"22/20,21/14",Pankaj Bhart,Ernst Georg Olsen
2016/2017,Hammerfest Midnight Sun,02.06.2017,SEN A,Ståle Engenes,Torstein Monsen,Jan Petter Olsen,Tom Brovold,"21/10,21/11",Ståle Engenes,Torstein Monsen
2016/2017,Hammerfest Midnight Sun,02.06.2017,SEN A,Hans Andreas Karlsen,Kristian Løe,Andreas Andersen,Tore Nilsen,"22/20,21/19",Hans Andreas Karlsen,Kristian Løe
2016/2017,Hammerfest Midnight Sun,02.06.2017,SEN A,Vegar Næss,Ole Salomonsen,Pankaj Bhart,Ernst Georg Olsen,"21/14,21/17",Vegar Næss,Ole Salomonsen
2016/2017,Hammerfest Midnight Sun,02.06.2017,SEN A,Hans Andreas Karlsen,Kristian Løe,Ståle Engenes,Torstein Monsen,"21/19,14/21,21/16",Hans Andreas Karlsen,Kristian Løe
2016/2017,Hammerfest Midnight Sun,02.06.2017,SEN A,Vegar Næss,Ole Salomonsen,Jan Petter Olsen,Tom Brovold,"21/13,21/12",Vegar Næss,Ole Salomonsen
2016/2017,Hammerfest Midnight Sun,02.06.2017,SEN B,,Simen  Kokkvoll,,Ståle Engenes,"22/20,22/20",Simen  Kokkvoll,
2016/2017,Hammerfest Midnight Sun,02.06.2017,SEN B,,Ståle Engenes,,Kim Steve Nystad,"21/18,21/13",Ståle Engenes,
2016/2017,Hammerfest Midnight Sun,02.06.2017,SEN B,,Simen  Kokkvoll,,Aleksander  Røeggen Johansen,"21/10,21/17",Simen  Kokkvoll,
2016/2017,Hammerfest Midnight Sun,02.06.2017,SEN B,,Ståle Engenes,,Alf Ivar Torskangerpoll Johnsen,"21/6,21/2",Ståle Engenes,
2016/2017,Hammerfest Midnight Sun,02.06.2017,SEN B,,Simen  Kokkvoll,,Marek Kwiatkowski,"21/9,21/15",Simen  Kokkvoll,
2016/2017,Hammerfest Midnight Sun,02.06.2017,SEN B,,Kim Steve Nystad,,Reidar Næss,"21/19,21/17",Kim Steve Nystad,
2016/2017,Hammerfest Midnight Sun,02.06.2017,SEN B,,Aleksander  Røeggen Johansen,,Simen Eggøy Olson,"21/17,21/13",Aleksander  Røeggen Johansen,
2016/2017,Hammerfest Midnight Sun,02.06.2017,SEN B,,Håvard Zachariassen,,Tor Ragnar Johansen,"21/15,21/8",Håvard Zachariassen,
2016/2017,Hammerfest Midnight Sun,02.06.2017,SEN B,,Ståle Engenes,,Marek Kwiatkowski,"21/16,21/7",Ståle Engenes,
2016/2017,Hammerfest Midnight Sun,02.06.2017,SEN B,,Ståle Engenes,,Tor Ragnar Johansen,"21/11,21/6",Ståle Engenes,
2016/2017,Hammerfest Midnight Sun,02.06.2017,SEN B,,Marek Kwiatkowski,,Håvard Zachariassen,"21/14,21/11",Marek Kwiatkowski,
2016/2017,Hammerfest Midnight Sun,02.06.2017,SEN B,,Marek Kwiatkowski,,Tor Ragnar Johansen,"21/9,21/7",Marek Kwiatkowski,
2016/2017,Hammerfest Midnight Sun,02.06.2017,SEN B,,Ståle Engenes,,Håvard Zachariassen,"21/11,21/14",Ståle Engenes,
2016/2017,Hammerfest Midnight Sun,02.06.2017,SEN B,,Kim Steve Nystad,,Rikke Nyheim,"21/13,21/4",Kim Steve Nystad,
2016/2017,Hammerfest Midnight Sun,02.06.2017,SEN B,,Aleksander  Røeggen Johansen,,Kristian Løe,"18/21,21/14,21/18",Aleksander  Røeggen Johansen,
2016/2017,Hammerfest Midnight Sun,02.06.2017,SEN B,,Aleksander  Røeggen Johansen,,Rikke Nyheim,"21/9,21/12",Aleksander  Røeggen Johansen,
2016/2017,Hammerfest Midnight Sun,02.06.2017,SEN B,,Kim Steve Nystad,,Kristian Løe,"21/19,21/12",Kim Steve Nystad,
2016/2017,Hammerfest Midnight Sun,02.06.2017,SEN B,,Kristian Løe,,Rikke Nyheim,"21/13,21/15",Kristian Løe,
2016/2017,Hammerfest Midnight Sun,02.06.2017,SEN B,,Kim Steve Nystad,,Aleksander  Røeggen Johansen,"21/13,13/21,21/13",Kim Steve Nystad,
2016/2017,Hammerfest Midnight Sun,02.06.2017,SEN B,,Alf Ivar Torskangerpoll Johnsen,,Marco Torgersen,"21/14,19/21,21/17",Alf Ivar Torskangerpoll Johnsen,
2016/2017,Hammerfest Midnight Sun,02.06.2017,SEN B,,Simen  Kokkvoll,,Jan Petter Olsen,"21/9,21/6",Simen  Kokkvoll,
