Plass.,Spiller-Id,Navn,Klasse,Poeng
121,106108,"Jørn Inge Bognøy, Sotra",C,47
123,105710,"Roman Malamant, Vestre Aker",C,46
123,100893,"Stian Sveberg, Moss",C,46
125,105065,"Dennis Andersen Moe, Sotra",C,44
125,100650,"Odd Helge Gåsbakk, Grong",C,44
125,103138,"Håkon Skogland Halvorsen, NTNUI",C,44
125,102168,"Sondre Løvold, Klæbu",C,44
125,109155,"Tobias Rolf, Vestre Aker",C,44
125,103476,"Sandi Meholjic, Tromsøstudentenes IL",C,44
125,104903,"Ke Xie, Vestre Aker",C,44
132,106033,"Arild Moen, Bærum",C,43
133,100468,"Bent Mørken, Nøtterøy",C,40
133,106242,"Bjørn Halvfstad, Haugerud",C,40
133,101912,"Andreas Helland, Norborg",C,40
133,106688,"Vladimir Nesterov, Russland",C,40
133,102789,"Staale J. Hultgren, Ullevål",C,40
133,100227,"Arne Kristian Helgestad, Frogner",C,40
133,104384,"Anders Åge Naglestad, Vestre Aker",C,40
140,103016,"André Vinnem Fosse, Sotra",C,39
140,104249,"Ole Henrik Lund, Bærum",C,39
142,107317,"Dirk Olivie, Vestre Aker",C,38
142,100243,"Christian Hervard, Bærum",C,38
142,101031,"Tormod Thorp, Moss",C,38
145,107503,"Aleksej Roman Kustrin Iversen , Rubbestadneset",C,36
145,107505,"Morten Amundsen, Rubbestadneset",C,36
145,105440,"Sander Espeseth, Norborg",C,36
145,103971,"Nikolay Magnus Avenstroup, Kristiansand",C,36
145,106791,"Egor Obukhov, Russland",C,36
145,101203,"Marius Sørby, Sandefjord",C,36
151,105066,"Iver Rolvsjord, NTNUI",C,35
152,100716,"Tore Hansen, Nesna",C,34
152,100948,"Kim Christensen, Frogner",C,34
152,103940,"Hans-Christian Marthinsen, Sandefjord",C,34
152,101976,"Edvin Marthinussen, Norborg",C,34
156,105654,"Kurt Magne Kvernøy, Rubbestadneset",C,33
156,101048,"Sigve Paulsen, Stavanger",C,33
158,100447,"Kim-Andre Moen, Fredrikstad BK",C,32
158,106828,"Anders Schwartzbach, Danmark",C,32
158,102526,"Øystein Telle, Sotra",C,32
158,105620,"Vegar Næss, Hammerfest",C,32
158,100849,"Tore Sperre, Ålesund",C,32
158,102480,"Tony Yang, NTNUI",C,32
164,102180,"Dag Esvall, Frogner",C,31
165,104189,"Mats Nilsen, Ålesund",C,30
165,103482,"Kent Nyheim, Tromsø",C,30
165,105465,"Benjamin Falck, Verdal",C,30
165,100740,"Tommy Ulveraker, Ålesund",C,30
165,101151,"Dag Johnstad, Hamar",C,30
165,105940,"Erik Sværen, Djerv",C,30
171,107516,"Kennet Hellesund Ellingsen, Bergen",C,29
172,106105,"Marius Waage Valø, Verdal",C,28
172,103508,"Taro Mukae, Bygdø",C,28
172,100661,"Tor Stenvaag, Ålesund",C,28
172,105285,"Jarmo Finnestrand, Berlevåg",C,28
172,104312,"Geir Omdal, Bergen",C,28
172,105724,"Håvard Haugen, Sotra",C,28
172,102438,"Peter Rønn Stensæth, Vestre Aker",C,28
172,100413,"Jørn Lund, Moss",C,28
172,102559,"Ketil Olsen, Bodø",C,28
172,100439,"Christoffer Hveding, Mehamn",C,28
172,105590,"Anders Grande, Leksvik",C,28
172,100189,"Sigve Hallager, Grong",C,28
184,107433,"Roger Monsen, Asker",C,27
185,101194,"Ole Andreas Hansen, Vestre Aker",C,26
185,104519,"Olve Nes Kløvning, Bergen",C,26
185,100668,"Jostein Straume, Sotra",C,26
185,102332,"Sverre Andreas Helland, Grong",C,26
189,104323,"Kim Hong, Haugerud",C,25
190,100665,"Tor-Kristian Storvik, Bodø",C,24
190,106296,"Morten Mowinckel, Bergen",C,24
190,100536,"Kjetil Pedersen, Sola",C,24
190,103158,"Matius Wijaya, Moss",C,24
190,106506,"Fredrik Pedersen, Tromsø",C,24
190,106241,"Sondre Sefland, OSI",C,24
190,101009,"Ling Zhuang Zeng, Pillarguri",C,24
190,101860,"Anders Austnes, Kolvereid",C,24
190,100014,"Geir Arnevik, Grimstad",C,24
190,106693,"Alexander Demyanchuk, Russland",C,24
190,101347,"Thomas Holdbakk, Kristiansand",C,24
190,103295,"Arne Simensen, Hamar",C,24
190,107388,"Andrey Ermolenko, Russland",C,24
190,104775,"Gintars Rundelis, Tromsø",C,24
204,106771,"Thomas Sjursen, Karmøy",C,23
204,104413,"Wenyue Yu, OSI",C,23
204,106779,"Gert Buhl, Stord",C,23
204,105723,"Håkon Johannessen, Sotra",C,23
208,101631,"Ivar Søgaard, Asker",C,22
208,102747,"Terje Jacobsen, Stavanger",C,22
208,103872,"Oddvar Mikalsen, Kolvereid",C,22
211,106613,"George Rajkumar, Sotra",C,21
211,101273,"Sven Åge Birkeland, Djerv",C,21
211,102786,"Alf Asklund, Frogner",C,21
211,100534,"Robin Kruksve Krux, Rissa",C,21
215,107686,"Thomas Larsen, Fredrikstad BK",C,20
215,105120,"Vincentius Rumawas, Asker",C,20
215,101895,"Erik Måøy, Kolvereid",C,20
215,104294,"Torgeir Lenning, Herøy",C,20
215,102875,"Stian Tønnesen, Mehamn",C,20
215,106793,"Evgeny Kulakov, Russland",C,20
215,107612,"Alexander Krasnov, Russland",C,20
215,100415,"Odd Magne Lund, Grong",C,20
215,103876,"Jone Sætenes, Djerv",C,20
215,106149,"Alf Ivar Torskangerpoll Johnsen, Tana",C,20
215,102897,"Erlend Kruksve, Bergen",C,20
215,101201,"Andreas Halle, Sandefjord",C,20
227,105722,"Vinoth Kumar Balasingam, Bergen",D,19
227,106142,"Lars-Martin Mjånes, Sotra",D,19
227,102984,"Andreas Gjerde, Sotra",D,19
227,107506,"Cato Fjellheim, Rubbestadneset",D,19
231,104415,"Olav Andreasson, Haugerud",D,18
231,107069,"Tore A. Arntzen, Kvinnherad",D,18
231,107710,"Baard-Harald Huseby, Frogner",D,18
231,105794,"Jan Malamant, Vestre Aker",D,18
231,104165,"Glenn Fylling, Ålesund",D,18
231,103509,"Sebastian Dahl, Drøbak",D,18
237,104952,"Erlend Engesæter Bognøy, Sotra",D,17
237,101867,"Ola Gunnes, Frogner",D,17
239,102240,"Christopher Johansen, Nesna",D,16
239,107129,"Joakim Hauger, Drøbak",D,16
239,103747,"Surodeep Roy, Haugerud",D,16
239,105516,"Berent Barth, Bergen",D,16
239,105266,"Joseph Nguyen, Djerv",D,16
239,102612,"Mattias Xu, Frogner",D,16
239,104883,"Arild Hagen, Frogner",D,16
239,101732,"Bjørn Floer, Kirkenes",D,16
239,102159,"Aleksander Martinussen, Båtsfjord",D,16
239,101097,"Keith Debnam, Asker",D,16
239,100833,"Rene Dahle, Sotra",D,16
239,107373,"Kjell Fors, Sverige",D,16
239,105004,"Trond Helgøy, Stavanger",D,16
239,106814,"Simon Petersen, Danmark",D,16
239,102518,"Viggo Lian, Leksvik",D,16
254,105721,"Bharath Kumar Balasingam, Bergen",D,15
254,107689,"Sigleif Steinsvåg, Karmøy",D,15
254,100363,"Sigbjørn Krunenes, Frogner",D,15
257,105527,"Svein Hogne Eikeland, Djerv",D,14
257,105515,"Idar Kløvning, Bergen",D,14
257,107095,"Marius Foshaug, Djerv",D,14
257,101123,"John Daae, Asker",D,14
257,105636,"Espen Lyfjell, Frogner",D,14
257,106807,"Trygve Ellingsen, Kristiansand",D,14
